WorkOrderId,EntityType,EntityUid,RelationshipType,ApplyToEntity
WO-10046,WATER_MAIN,0012,primary,false
WO-10047,WATER_MAIN,0012,primary,false
WO-10048,WATER_MAIN,0012,primary,false
WO-10049,SEWER_MAIN,0013,primary,false
WO-10050,SEWER_MAIN,0013,primary,false
WO-10050,SERVICE_ZONE,ZONE-5,related,true
WO-10051,SEWER_MAIN,0013,primary,false
WO-10052,SEWER_MAIN,0013,primary,false
WO-10053,ROAD_SEGMENT,0014,primary,false
WO-10054,ROAD_SEGMENT,0014,primary,false
WO-10055,ROAD_SEGMENT,0014,primary,false
WO-10056,ROAD_SEGMENT,0014,primary,false
WO-10057,ROAD_SEGMENT,0015,primary,false
WO-10058,ROAD_SEGMENT,0015,primary,false
WO-10059,ROAD_SEGMENT,0015,primary,false
WO-10060,ROAD_SEGMENT,0015,primary,false
WO-10061,METER,0016,primary,false
WO-10062,METER,0016,primary,false
WO-10063,METER,0016,primary,false
WO-10064,METER,0016,primary,false
WO-10065,AIR_HANDLER,0017,primary,false
WO-10066,AIR_HANDLER,0017,primary,false
WO-10066,SERVICE_ZONE,ZONE-1,related,true
WO-10067,AIR_HANDLER,0017,primary,false
WO-10068,AIR_HANDLER,0017,primary,false
WO-10069,LIGHT_PANEL,0018,primary,false
WO-10070,LIGHT_PANEL,0018,primary,false
WO-10071,LIGHT_PANEL,0018,primary,false
WO-10072,LIGHT_PANEL,0018,primary,false
WO-10073,VALVE,0019,primary,false
WO-10074,VALVE,0019,primary,false
WO-10075,VALVE,0019,primary,false
WO-10076,VALVE,0019,primary,false
WO-10077,HYDRANT,0020,primary,false
WO-10078,HYDRANT,0020,primary,false
WO-10079,HYDRANT,0020,primary,false
WO-10080,HYDRANT,0020,primary,false
WO-10081,WATER_MAIN,0021,primary,false
WO-10082,WATER_MAIN,0021,primary,false
WO-10082,SERVICE_ZONE,ZONE-5,related,true
WO-10083,WATER_MAIN,0021,primary,false
WO-10084,WATER_MAIN,0021,primary,false
WO-10085,SEWER_MAIN,0022,primary,false
WO-10086,SEWER_MAIN,0022,primary,false
WO-10087,SEWER_MAIN,0022,primary,false
WO-10088,SEWER_MAIN,0022,primary,false
WO-10089,ROAD_SEGMENT,0023,primary,false
WO-10090,ROAD_SEGMENT,0023,primary,false
WO-10091,ROAD_SEGMENT,0023,primary,false
WO-10092,ROAD_SEGMENT,0023,primary,false
WO-10093,ROAD_SEGMENT,0024,primary,false
WO-10094,ROAD_SEGMENT,0024,primary,false
WO-10095,ROAD_SEGMENT,0024,primary,false
WO-10096,ROAD_SEGMENT,0024,primary,false
WO-10097,METER,0001,primary,false
WO-10098,METER,0001,primary,false
WO-10098,SERVICE_ZONE,ZONE-1,related,true
WO-10099,METER,0001,primary,false
WO-10100,METER,0001,primary,false
WO-10101,AIR_HANDLER,0002,primary,false
WO-10102,AIR_HANDLER,0002,primary,false
WO-10103,AIR_HANDLER,0002,primary,false
WO-10104,AIR_HANDLER,0002,primary,false
WO-10105,LIGHT_PANEL,0003,primary,false
WO-10106,LIGHT_PANEL,0003,primary,false
WO-10107,LIGHT_PANEL,0003,primary,false
WO-10108,LIGHT_PANEL,0003,primary,false
WO-10109,VALVE,0004,primary,false
WO-10110,VALVE,0004,primary,false
WO-10111,VALVE,0004,primary,false
WO-10112,VALVE,0004,primary,false
WO-10113,HYDRANT,0005,primary,false
WO-10114,HYDRANT,0005,primary,false
WO-10114,SERVICE_ZONE,ZONE-5,related,true
WO-10115,HYDRANT,0005,primary,false
WO-10116,HYDRANT,0005,primary,false
WO-10117,WATER_MAIN,0006,primary,false
WO-10118,WATER_MAIN,0006,primary,false
WO-10119,WATER_MAIN,0006,primary,false
WO-10120,WATER_MAIN,0006,primary,false
WO-10121,SEWER_MAIN,0007,primary,false
WO-10122,SEWER_MAIN,0007,primary,false
WO-10123,SEWER_MAIN,0007,primary,false
WO-10124,SEWER_MAIN,0007,primary,false
WO-10125,ROAD_SEGMENT,0008,primary,false
WO-10126,ROAD_SEGMENT,0008,primary,false
WO-10127,ROAD_SEGMENT,0008,primary,false
WO-10128,ROAD_SEGMENT,0008,primary,false
WO-10129,ROAD_SEGMENT,0009,primary,false
WO-10130,ROAD_SEGMENT,0009,primary,false
WO-10130,SERVICE_ZONE,ZONE-1,related,true
WO-10131,ROAD_SEGMENT,0009,primary,false
WO-10132,ROAD_SEGMENT,0009,primary,false
WO-10133,METER,0010,primary,false
WO-10134,METER,0010,primary,false
WO-10135,METER,0010,primary,false
WO-10136,METER,0010,primary,false
WO-10137,AIR_HANDLER,0011,primary,false
WO-10138,AIR_HANDLER,0011,primary,false
WO-10139,AIR_HANDLER,0011,primary,false
WO-10140,AIR_HANDLER,0011,primary,false
WO-10141,LIGHT_PANEL,0012,primary,false
WO-10142,LIGHT_PANEL,0012,primary,false
WO-10143,LIGHT_PANEL,0012,primary,false
WO-10144,LIGHT_PANEL,0012,primary,false
WO-10145,VALVE,0013,primary,false
WO-10146,VALVE,0013,primary,false
WO-10146,SERVICE_ZONE,ZONE-5,related,true
WO-10147,VALVE,0013,primary,false
WO-10148,VALVE,0013,primary,false
WO-10149,HYDRANT,0014,primary,false
WO-10150,HYDRANT,0014,primary,false
WO-10151,HYDRANT,0014,primary,false
WO-10152,HYDRANT,0014,primary,false
WO-10153,WATER_MAIN,0015,primary,false
WO-10154,WATER_MAIN,0015,primary,false
WO-10155,WATER_MAIN,0015,primary,false
WO-10156,WATER_MAIN,0015,primary,false
WO-10157,SEWER_MAIN,0016,primary,false
WO-10158,SEWER_MAIN,0016,primary,false
WO-10159,SEWER_MAIN,0016,primary,false
WO-10160,SEWER_MAIN,0016,primary,false
WO-10161,ROAD_SEGMENT,0017,primary,false
WO-10162,ROAD_SEGMENT,0017,primary,false
WO-10162,SERVICE_ZONE,ZONE-1,related,true
WO-10163,ROAD_SEGMENT,0017,primary,false
WO-10164,ROAD_SEGMENT,0017,primary,false
WO-10165,ROAD_SEGMENT,0018,primary,false
WO-10166,ROAD_SEGMENT,0018,primary,false
WO-10167,ROAD_SEGMENT,0018,primary,false
WO-10168,ROAD_SEGMENT,0018,primary,false
WO-10169,METER,0019,primary,false
WO-10170,METER,0019,primary,false
WO-10171,METER,0019,primary,false
WO-10172,METER,0019,primary,false
WO-10173,AIR_HANDLER,0020,primary,false
WO-10174,AIR_HANDLER,0020,primary,false
WO-10175,AIR_HANDLER,0020,primary,false
WO-10176,AIR_HANDLER,0020,primary,false
WO-10177,LIGHT_PANEL,0021,primary,false
WO-10178,LIGHT_PANEL,0021,primary,false
WO-10178,SERVICE_ZONE,ZONE-5,related,true
WO-10179,LIGHT_PANEL,0021,primary,false
WO-10180,LIGHT_PANEL,0021,primary,false
WO-10181,VALVE,0022,primary,false
WO-10182,VALVE,0022,primary,false
WO-10183,HYDRANT,0023,primary,false
WO-10184,HYDRANT,0023,primary,false
WO-10185,WATER_MAIN,0024,primary,false
WO-10186,WATER_MAIN,0024,primary,false
WO-10187,SEWER_MAIN,0001,primary,false
WO-10188,SEWER_MAIN,0001,primary,false
WO-10188,SERVICE_ZONE,ZONE-1,related,true
WO-10189,ROAD_SEGMENT,0002,primary,false
WO-10190,ROAD_SEGMENT,0002,primary,false
WO-10191,ROAD_SEGMENT,0003,primary,false
WO-10192,ROAD_SEGMENT,0003,primary,false
WO-10193,METER,0004,primary,false
WO-10194,METER,0004,primary,false
WO-10195,AIR_HANDLER,0005,primary,false
WO-10196,AIR_HANDLER,0005,primary,false
WO-10196,SERVICE_ZONE,ZONE-5,related,true
WO-10197,LIGHT_PANEL,0006,primary,false
WO-10198,LIGHT_PANEL,0006,primary,false
WO-10199,VALVE,0007,primary,false
WO-10200,VALVE,0007,primary,false
WO-10201,HYDRANT,0008,primary,false
WO-10202,HYDRANT,0008,primary,false
WO-10203,WATER_MAIN,0009,primary,false
WO-10204,WATER_MAIN,0009,primary,false
WO-10204,SERVICE_ZONE,ZONE-1,related,true
WO-10205,SEWER_MAIN,0010,primary,false
WO-10206,SEWER_MAIN,0010,primary,false
WO-10207,ROAD_SEGMENT,0011,primary,false
WO-10208,ROAD_SEGMENT,0011,primary,false
WO-10209,ROAD_SEGMENT,0012,primary,false
WO-10210,ROAD_SEGMENT,0012,primary,false
WO-10211,METER,0013,primary,false
WO-10212,AIR_HANDLER,0014,primary,false
WO-10213,LIGHT_PANEL,0015,primary,false
WO-10214,VALVE,0016,primary,false
WO-10215,HYDRANT,0017,primary,false
WO-10216,WATER_MAIN,0018,primary,false
WO-10217,SEWER_MAIN,0019,primary,false
WO-10218,ROAD_SEGMENT,0020,primary,false
WO-10219,ROAD_SEGMENT,0021,primary,false
WO-10220,METER,0022,primary,false
WO-10221,AIR_HANDLER,0023,primary,false
WO-10222,LIGHT_PANEL,0024,primary,false
