WorkOrderId,CreatedDate,Description,Category,Department,Status,Priority
WO-10021,2022-03-25T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10022,2022-04-06T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10023,2022-05-12T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Completed,High
WO-10024,2022-07-06T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Closed,High
WO-10025,2022-04-10T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10026,2022-04-22T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10027,2022-05-28T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Completed,High
WO-10028,2022-07-22T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Closed,High
WO-10029,2022-04-25T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10030,2022-05-07T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10031,2022-06-12T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Completed,High
WO-10032,2022-08-06T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Closed,High
WO-10033,2022-05-20T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10034,2022-06-01T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10035,2022-07-07T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Completed,High
WO-10036,2022-08-31T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Closed,High
WO-10037,2022-05-26T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10038,2022-06-07T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10039,2022-07-13T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10040,2022-09-06T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10041,2022-06-20T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10042,2022-07-02T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10043,2022-08-07T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10044,2022-10-01T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10045,2022-07-07T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10046,2022-07-19T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10047,2022-08-24T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Completed,High
WO-10048,2022-10-18T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Closed,High
WO-10049,2022-07-20T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10050,2022-08-01T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10051,2022-09-06T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Completed,High
WO-10052,2022-10-31T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Closed,High
WO-10053,2022-07-29T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10054,2022-08-10T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10055,2022-09-15T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Completed,High
WO-10056,2022-11-09T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Closed,High
WO-10057,2022-08-22T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10058,2022-09-03T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10059,2022-10-09T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Completed,High
WO-10060,2022-12-03T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Closed,High
WO-10061,2022-09-04T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10062,2022-09-16T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10063,2022-10-22T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Completed,High
WO-10064,2022-12-16T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Closed,High
WO-10065,2022-09-14T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10066,2022-09-26T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10067,2022-11-01T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Completed,High
WO-10068,2022-12-26T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Closed,High
WO-10069,2022-09-30T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10070,2022-10-12T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10071,2022-11-17T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Completed,High
WO-10072,2023-01-11T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Closed,High
WO-10073,2022-10-17T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10074,2022-10-29T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10075,2022-12-04T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10076,2023-01-28T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10077,2022-11-04T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10078,2022-11-16T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10079,2022-12-22T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10080,2023-02-15T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10081,2022-11-20T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10082,2022-12-02T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10083,2023-01-07T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Completed,High
WO-10084,2023-03-03T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Closed,High
WO-10085,2022-12-11T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10086,2022-12-23T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10087,2023-01-28T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Completed,High
WO-10088,2023-03-24T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Closed,High
WO-10089,2022-12-28T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10090,2023-01-09T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10091,2023-02-14T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Completed,High
WO-10092,2023-04-10T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Closed,High
WO-10093,2023-01-04T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10094,2023-01-16T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10095,2023-02-21T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Completed,High
WO-10096,2023-04-17T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Closed,High
WO-10097,2023-01-28T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10098,2023-02-09T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10099,2023-03-17T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Completed,High
WO-10100,2023-05-11T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Closed,High
WO-10101,2023-02-08T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10102,2023-02-20T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10103,2023-03-28T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Completed,High
WO-10104,2023-05-22T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Closed,High
WO-10105,2023-03-04T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10106,2023-03-16T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10107,2023-04-21T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Completed,High
WO-10108,2023-06-15T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Closed,High
WO-10109,2023-03-19T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10110,2023-03-31T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10111,2023-05-06T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10112,2023-06-30T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10113,2023-04-05T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10114,2023-04-17T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10115,2023-05-23T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10116,2023-07-17T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10117,2023-04-18T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10118,2023-04-30T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10119,2023-06-05T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Completed,High
WO-10120,2023-07-30T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Closed,High
WO-10121,2023-05-02T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10122,2023-05-14T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10123,2023-06-19T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Completed,High
WO-10124,2023-08-13T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Closed,High
WO-10125,2023-05-15T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10126,2023-05-27T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10127,2023-07-02T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Completed,High
WO-10128,2023-08-26T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Closed,High
WO-10129,2023-06-04T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10130,2023-06-16T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10131,2023-07-22T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Completed,High
WO-10132,2023-09-15T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Closed,High
WO-10133,2023-06-22T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10134,2023-07-04T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10135,2023-08-09T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Completed,High
WO-10136,2023-10-03T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Closed,High
WO-10137,2023-07-03T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10138,2023-07-15T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10139,2023-08-20T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Completed,High
WO-10140,2023-10-14T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Closed,High
WO-10141,2023-07-27T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10142,2023-08-08T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10143,2023-09-13T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Completed,High
WO-10144,2023-11-07T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Closed,High
WO-10145,2023-07-31T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10146,2023-08-12T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10147,2023-09-17T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10148,2023-11-11T00:00:00+00:00,Service pressure follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10149,2023-08-28T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10150,2023-09-09T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10151,2023-10-15T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Completed,High
WO-10152,2023-12-09T00:00:00+00:00,Service line follow-up,Water Distribution,Water & Sewer,Closed,High
WO-10153,2023-09-13T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10154,2023-09-25T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10155,2023-10-31T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Completed,High
WO-10156,2023-12-25T00:00:00+00:00,Main repair follow-up,Water Main,Water & Sewer,Closed,High
WO-10157,2023-09-19T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10158,2023-10-01T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10159,2023-11-06T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Completed,High
WO-10160,2023-12-31T00:00:00+00:00,Repeat sewer complaint,Wastewater Collection,Water & Sewer,Closed,High
WO-10161,2023-10-14T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10162,2023-10-26T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10163,2023-12-01T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Completed,High
WO-10164,2024-01-25T00:00:00+00:00,Repeat pavement defect,Street Repair,Streets & Traffic,Closed,High
WO-10165,2023-10-25T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10166,2023-11-06T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10167,2023-12-12T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Completed,High
WO-10168,2024-02-05T00:00:00+00:00,Recurring asphalt failure,Pavement Management,Streets & Traffic,Closed,High
WO-10169,2023-11-09T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10170,2023-11-21T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10171,2023-12-27T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Completed,High
WO-10172,2024-02-20T00:00:00+00:00,Repeat meter failure,Meter Services,Water & Sewer,Closed,High
WO-10173,2023-11-24T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10174,2023-12-06T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10175,2024-01-11T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Completed,High
WO-10176,2024-03-06T00:00:00+00:00,Repeat cooling issue,Building Mechanical,Municipal Buildings,Closed,High
WO-10177,2023-12-08T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10178,2023-12-20T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10179,2024-01-25T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Completed,High
WO-10180,2024-03-20T00:00:00+00:00,Recurring lighting fault,Electrical Systems,Electrical Services,Closed,High
WO-10181,2023-12-25T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10182,2024-01-06T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10183,2024-01-19T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10184,2024-01-31T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10185,2024-01-28T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10186,2024-02-09T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10187,2024-02-09T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10188,2024-02-21T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10189,2024-02-25T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10190,2024-03-08T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10191,2024-03-17T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10192,2024-03-29T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10193,2024-03-28T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10194,2024-04-09T00:00:00+00:00,Meter fault,Meter Services,Water & Sewer,Completed,Normal
WO-10195,2024-04-17T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10196,2024-04-29T00:00:00+00:00,Air handler inspection,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10197,2024-05-03T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10198,2024-05-15T00:00:00+00:00,Panel inspection,Electrical Systems,Electrical Services,Completed,Normal
WO-10199,2024-05-23T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10200,2024-06-04T00:00:00+00:00,Pressure investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10201,2024-06-03T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10202,2024-06-15T00:00:00+00:00,Standing water near asset,Water Distribution,Water & Sewer,Completed,Normal
WO-10203,2024-06-27T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10204,2024-07-09T00:00:00+00:00,Roadway water report,Water Main,Water & Sewer,Completed,Normal
WO-10205,2024-07-01T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10206,2024-07-13T00:00:00+00:00,Collection line inspection,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10207,2024-07-28T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10208,2024-08-09T00:00:00+00:00,Road surface repair,Street Repair,Streets & Traffic,Completed,Normal
WO-10209,2024-08-09T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10210,2024-08-21T00:00:00+00:00,Surface inspection,Pavement Management,Streets & Traffic,Completed,Normal
WO-10211,2024-08-26T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10212,2024-09-04T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10213,2024-09-25T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10214,2024-10-06T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-10215,2024-10-29T00:00:00+00:00,Water leak investigation,Water Distribution,Water & Sewer,Completed,Normal
WO-10216,2024-11-10T00:00:00+00:00,Possible water main break,Water Main,Water & Sewer,Completed,Normal
WO-10217,2024-12-02T00:00:00+00:00,Sewer backup report,Wastewater Collection,Water & Sewer,Completed,Normal
WO-10218,2024-12-17T00:00:00+00:00,Pothole complaint,Street Repair,Streets & Traffic,Completed,Normal
WO-10219,2024-12-29T00:00:00+00:00,Pavement cracking,Pavement Management,Streets & Traffic,Completed,Normal
WO-10220,2025-01-18T00:00:00+00:00,Meter read exception,Meter Services,Water & Sewer,Completed,Normal
WO-10221,2025-01-28T00:00:00+00:00,HVAC temperature complaint,Building Mechanical,Municipal Buildings,Completed,Normal
WO-10222,2025-02-21T00:00:00+00:00,Electrical outage,Electrical Systems,Electrical Services,Completed,Normal
WO-10001,2022-01-11T00:00:00+00:00,Low water pressure complaint,Water Distribution,Water & Sewer,Completed,Normal
WO-INVALID-DATE,3025-99-99,Invalid source row,Unknown,Unknown,Open,Normal
